source,author,title,description,url,publishedAt,content
Gizmodo.com,Ece Yildirim,"AI Won’t Replace Jobs, but Tech Bros Want You to Be Afraid It Will","He also thinks the AI bubble burst is going to make 2008 feel like ""a golden age.""",https://gizmodo.com/ai-wont-replace-jobs-tech-bros-want-you-terrified-2000670808,2025-10-15T14:20:54Z,"AI is overrated, according to author Cory Doctorow.
“I don’t think AI can do your job,” Doctorow said, but despite that, bosses across industries are “insatiably horny” about the idea that AI will r… [+7077 chars]"
Business Insider,Lara O'Reilly,Salesforce challenger Zeta Global is making its biggest-ever acquisition as it looks to corner the loyalty market,"Zeta, which helps marketers attract and retain customers, is doubling down on a strategy to get its clients to use more than one of its services.",https://www.businessinsider.com/martech-company-zeta-global-acquire-marigold-enterprise-business-2025-9,2025-09-30T20:06:01Z,"David Steinberg's Zeta Global is making its 17th acquisition.Zeta Global
<ul><li>Marketing tech company Zeta Global is making its biggest-ever acquisition.</li><li>It's acquiring the enterprise soft… [+3717 chars]"
Yahoo Entertainment,Rian Howlett,"Stock market today: Dow sinks 500 points, S&P 500, Nasdaq plummet as Trump threatens 'massive increase' on China tariffs","Markets have had an uncertain week, pulled in different directions by AI demand hopes and US government shutdown worries.",https://finance.yahoo.com/news/live/stock-market-today-dow-sinks-500-points-sp-500-nasdaq-plummet-as-trump-threatens-massive-increase-on-china-tariffs-164432249.html,2025-10-10T16:44:32Z,"US stocks turned lower Friday as President Trump and China traded blows on tariffs, with Trump threatening a ""massive increase"" in tariffs on Chinese goods.
The Dow Jones Industrial Average (^DJI) l… [+8494 chars]"
Yahoo Entertainment,Petr Huřťák,"Super Micro (SMCI) Stock Trades Up, Here Is Why",Shares of server solutions provider Super Micro (NASDAQ:SMCI) jumped 3% in the afternoon session after the company unveiled a new lineup of AI-optimized...,https://finance.yahoo.com/news/super-micro-smci-stock-trades-204708134.html,2025-09-22T20:47:08Z,Shares of server solutions provider Super Micro (NASDAQ:SMCI) jumped 3% in the afternoon session after the company unveiled a new lineup of AI-optimized computing systems at its INNOVATE! event in Ma… [+2917 chars]
Business Insider,Andrea Wasserman,"I rejected and approved hundreds of raises at Nordstrom, Verizon, and Yahoo. Here's my advice for getting a raise in the current market.",Andrea Wasserman says her best advice for securing a raise at your job in this market is to make yourself indispensable.,https://www.businessinsider.com/how-to-get-raise-current-job-market-executive-coach-2025-10,2025-10-17T09:05:01Z,"Andrea Wasserman.Courtesy of Andrea Wasserman
<ul><li>Executive coach Andrea Wasserman says it's difficult but not impossible to secure a raise right now.</li><li>Companies have less urgency to incr… [+5939 chars]"
ABC News,"Mary Bruce, Karen Travers, Michelle Stoddart, Max Zahn","Trump threatens 'massive' tariffs on China, triggering stock market sell-off",China imposed limits on rare earth minerals a day earlier.,https://abcnews.go.com/Politics/trump-threatens-massive-tariffs-china-triggering-stock-market/story?id=126405187,2025-10-10T16:50:42Z,"President Donald Trump on Friday voiced frustration with what he called China's ""trade hostility,"" threatening to respond with large tariffs on China and to cancel his upcoming meeting with Chinese P… [+1435 chars]"
Yahoo Entertainment,Radek Strnad,"AMD (AMD) Stock Is Up, What You Need To Know",Shares of computer processor maker AMD (NASDAQ:AMD) jumped 3.6% in the afternoon session after the company announced an expanded artificial intelligence (AI)...,https://finance.yahoo.com/news/amd-amd-stock-know-172042259.html,2025-10-02T17:20:42Z,Shares of computer processor maker AMD (NASDAQ:AMD) jumped 3.6% in the afternoon session after the company announced an expanded artificial intelligence (AI) partnership and reports surfaced of a pot… [+2545 chars]
Yahoo Entertainment,Jabin Bastian,Why Lattice Semiconductor (LSCC) Stock Is Trading Up Today,Shares of semiconductor designer Lattice Semiconductor (NASDAQ:LSCC) jumped 3.3% in the morning session after a major AI-focused partnership in the chip...,https://finance.yahoo.com/news/why-lattice-semiconductor-lscc-stock-155601633.html,2025-10-06T15:56:01Z,Shares of semiconductor designer Lattice Semiconductor (NASDAQ:LSCC) jumped 3.3% in the morning session after a major AI-focused partnership in the chip sector boosted sentiment for stocks with expos… [+2598 chars]
The Verge,Emma Roth,$55 billion EA buyout hands Madden over to investors including Saudi Arabia and Jared Kushner,"Electronic Arts has announced it is being acquired and taken private in a $55 billion deal involving Silver Lake, Saudi Arabia’s Public Investment Fund, and Affinity Partners, which is founded and led by Donald Trump’s son-in-law, Jared Kushner. The deal is e…",https://www.theverge.com/news/787112/electronic-arts-55-billion-privacte-acquisition-pif-silver-lake-affinity-partners,2025-09-29T12:51:27Z,"<ul><li></li><li></li><li></li></ul>
Silver Lake, PIF, and Affinity Partners will take the gaming giant private.
Silver Lake, PIF, and Affinity Partners will take the gaming giant private.
by
Emm… [+3083 chars]"
Yahoo Entertainment,Simply Wall St,High Growth Tech Stocks with Promising Global Potential,"Amidst a backdrop of record highs in major U.S. stock indexes and a rally in small-cap stocks following the Federal Reserve's interest rate cut, global...",https://finance.yahoo.com/news/high-growth-tech-stocks-promising-093818624.html,2025-09-23T09:38:18Z,"Amidst a backdrop of record highs in major U.S. stock indexes and a rally in small-cap stocks following the Federal Reserve's interest rate cut, global markets are navigating through significant econ… [+6132 chars]"
Business Insider,Kwan Wei Kevin Tan,Mark Cuban is advocating for companies to share the wealth with employees,"""Compassion and capitalism, not greed, are what can make this country far greater,"" Cuban wrote on X.",https://www.businessinsider.com/mark-cuban-companies-share-wealth-employees-2025-10,2025-10-13T04:54:26Z,"""Compassion and capitalism, not greed, are what can make this country far greater,"" Mark Cuban wrote on X on Sunday.Julia Beverly/WireImage via Getty Images
<ul><li>Mark Cuban says that companies sh… [+3469 chars]"
The New Yorker,John Cassidy,The A.I. Boom and the Spectre of 1929,"As some financial leaders fret publicly about the stock market falling to earth, Andrew Ross Sorkin’s new book recounts the greatest crash of them all.",https://www.newyorker.com/news/the-financial-page/the-ai-boom-and-the-spectre-of-1929,2025-10-13T19:08:24Z,"No two speculative booms are exactly alike, of course, but they share some common elements. Typically, there is great excitement among investors about new technologyin todays case, A.I.and its potent… [+6613 chars]"
Business Insider,Melia Russell,Inside the battle in legal tech to 'OpenAI-proof' its business,OpenAI's own use of AI put the SaaS market on notice. Legal tech companies are confident they're safe — for now.,https://www.businessinsider.com/legal-tech-saas-openai-competition-crosby-evenup-spellbook-eve-2025-10,2025-10-09T18:10:01Z,"Sam AltmanFlorian Gaertner/Photothek via Getty Images
<ul><li>Funding for legal tech is off to a $320 million start this month.</li><li>The money is gushing in, even as key questions remain.</li><li… [+4641 chars]"
Yahoo Entertainment,Simply Wall St,Asian Dividend Stocks To Enhance Your Portfolio,"As global markets navigate a complex landscape marked by economic uncertainties and geopolitical tensions, the Asian stock markets have shown resilience...",https://finance.yahoo.com/news/asian-dividend-stocks-enhance-portfolio-223905812.html,2025-10-05T22:39:05Z,"As global markets navigate a complex landscape marked by economic uncertainties and geopolitical tensions, the Asian stock markets have shown resilience, with indices in China and Japan reflecting mi… [+5544 chars]"
TheStreet,Moz Farooque,Jamie Dimon has blunt call on the stock market,"So far in 2025, the U.S. stock market has marched forward with considerable aplomb. Case in point: after racking up multiple highs, the S&P 500 is up nearly ...",https://www.thestreet.com/investing/jamie-dimon-has-blunt-call-on-the-stock-market-,2025-10-08T18:56:38Z,"So far in 2025, the U.S. stock market has marched forward with considerable aplomb.
Case in point: after racking up multiple highs, the S&amp;P 500 is up nearly 17% year-to-date, and multiple sector… [+4594 chars]"
Yahoo Entertainment,Ramzan Karmali,Market Movers: The rise of China's AI,Chinese tech stocks like Alibaba (BABA) and Tencent (0700.HK) have been on the up as optimism about developments they're making in Artificial Intelligence...,https://finance.yahoo.com/video/market-movers-rise-chinas-ai-122822192.html,2025-09-30T12:28:22Z,"Can China threaten the US dominance in AI? Well, the Shanghai composite, China's mainland benchmark rose 3% in September alone. It's longest monthly rally since 2017. Why? Well, Asian tech stocks hav… [+6529 chars]"
Yahoo Entertainment,Zacks Equity Research,Why This 1 Value Stock Could Be a Great Addition to Your Portfolio,The Zacks Style Scores offers investors a way to easily find top-rated stocks based on their investing style. Here's why you should take advantage.,https://finance.yahoo.com/news/why-1-value-stock-could-134004930.html,2025-09-30T13:40:04Z,"Taking full advantage of the stock market and investing with confidence are common goals for new and old investors alike.
While you may have an investing style you rely on, finding great stocks is m… [+2094 chars]"
Harvard Business Review,"Jenny Fernandez, Kathryn Landis",How to Lead When the Conditions for Success Suddenly Disappear,"Broaden coalitions, build resiliency, and reset expectations.",https://hbr.org/2025/10/how-to-lead-when-the-conditions-for-success-suddenly-disappear,2025-10-13T12:05:36Z,"In todays workplace, uncertainty has become the norm. Economic headwinds and a volatile stock market have been prompting companies to slash or reallocate budgets mid-course. Generative AI and other f… [+343 chars]"
Slashdot.org,EditorDavid,'Circular' AI Mega-Deals by AI and Hardware Giants are Raising Eyebrows,"""Nvidia is investing billions in and selling chips to OpenAI, which is also buying chips from and earning stock in AMD,"" writes SFGate. ""AMD sells processors to Oracle, which is building data centers with OpenAI — which also gets data center work from CoreWea…",https://slashdot.org/story/25/10/11/1819237/circular-ai-mega-deals-by-ai-and-hardware-giants-are-raising-eyebrows,2025-10-11T18:34:00Z,"""Nvidia is investing billions in and selling chips to OpenAI, which is also buying chips from and earning stock in AMD,"" writes SFGate. ""AMD sells processors to Oracle, which is building data centers… [+1630 chars]"
Business Insider,Theron Mohamed,Top strategist Paul Dietrich shares 2 picks to ride out an AI crash,"Wedbush's Paul Dietrich said the AI boom reminds him of the dot-com and housing bubbles, and he's bullish on gold and utilities.",https://www.businessinsider.com/wedbush-dietrich-ai-boom-stock-market-bubble-recession-gold-utilities-2025-10,2025-10-09T09:00:01Z,"Wedbush's Paul Dietrich is worried about the stock market and economy.Osmancan Gurdogan/Anadolu via Getty Images
<ul><li>Paul Dietrich shared two alternative investments to AI, saying the tech boom … [+3628 chars]"
Yahoo Entertainment,Nauman khan,PLTR: Palantir Breaks $1 Billion Revenue Milestone--Is This Just the Beginning?,Defense And AI Deals Power Palantir Stock To Record-Breaking Quarter,https://finance.yahoo.com/news/pltr-palantir-breaks-1-billion-183512308.html,2025-10-03T18:35:12Z,"This article first appeared on GuruFocus.
Oct 3 - Palantir Technologies (NASDAQ:PLTR) is turning heads again, not just because of the AI hype cycle, but because the company is stacking real wins tha… [+1539 chars]"
Yahoo Entertainment,Anthony Lee,2 Safe-and-Steady Stocks to Consider Right Now and 1 We Brush Off,"A stock with low volatility can be reassuring, but it doesn’t always mean strong long-term performance. Investors who prioritize stability may miss out on...",https://finance.yahoo.com/news/2-safe-steady-stocks-consider-043322597.html,2025-10-16T04:33:22Z,"A stock with low volatility can be reassuring, but it doesnt always mean strong long-term performance. Investors who prioritize stability may miss out on higher-reward opportunities elsewhere.
Lucki… [+2601 chars]"
Barchart.com,Wajeeh Khan,Plug Power Just Reported Record Output. Should You Buy PLUG Stock Here?,Plug Power shares briefly rallied after the hydrogen fuel cell specialist reported record production at its Georgia facility. But PLUG stock may still be a...,https://www.barchart.com/story/news/34988069/plug-power-just-reported-record-output-should-you-buy-plug-stock-here,2025-09-23T18:54:38Z,"Plug Power (PLUG) shares pushed notably to the upside today after the clean energy firm said its Georgia green hydrogen facility reached record production of 324 metric tons in August 2025.
The hydr… [+2169 chars]"
Business Insider,Lee Chong Ming,Satya Nadella is netting a record $96.5 million pay package as Microsoft's AI bets paid off,Microsoft CEO Satya Nadella's pay soared to a record $96.5 million as the company's revenue hit $281 billion this year.,https://www.businessinsider.com/satya-nadella-96-million-pay-salary-microsoft-ai-filing-2025-10,2025-10-22T04:49:44Z,"Satya Nadella's record $96.5 million payday shows how Microsoft's AI boom is rewarding its top leader.JASON REDMOND/AFP via Getty Images
<ul><li>Satya Nadella's pay package rose to a record $96.5 mi… [+2519 chars]"
Yahoo Entertainment,Adam Hejl,1 Stock Under $50 Worth Investigating and 2 We Question,The $10-50 price range often includes mid-sized businesses with proven track records and plenty of growth runway ahead. They also usually carry less risk...,https://finance.yahoo.com/news/1-stock-under-50-worth-043128393.html,2025-10-20T04:31:28Z,"The $10-50 price range often includes mid-sized businesses with proven track records and plenty of growth runway ahead. They also usually carry less risk than penny stocks, though theyre not immune t… [+2448 chars]"
Barchart.com,Jim Van Meerten,"This Quantum Computing Stock Is Up 4,024% in a Year. What Comes Next?","Rigetti Computing (RGTI) stands out for its quantum-classical computing infrastructure and has surged 4,024% over the past year. RGTI is trading above key...",https://www.barchart.com/story/news/35009546/this-quantum-computing-stock-is-up-4-024-in-a-year-what-comes-next,2025-09-24T14:50:03Z,"<ul><li>Rigetti Computing (RGTI) stands out for its quantum-classical computing infrastructure and has surged 4,024% over the past year.
</li><li>RGTI is trading above key moving averages and has a … [+4557 chars]"
Yahoo Entertainment,Simply Wall St,Rocket Lab Shares Soar 591% as Investors Weigh Valuation After NASA Contract Win,"If you’re looking at Rocket Lab’s stock chart this year, you’re probably double-checking your math right now. After all, a 591.1% gain over the last 12...",https://finance.yahoo.com/news/rocket-lab-shares-soar-591-050355002.html,2025-10-09T05:03:55Z,"If youre looking at Rocket Labs stock chart this year, youre probably double-checking your math right now. After all, a 591.1% gain over the last 12 months and a staggering 1,532.8% jump over three y… [+6990 chars]"
Yahoo Entertainment,Syeda Seirut Javed,Jim Cramer on Apollo Global: “This is the Toughest One for Me to Swallow”,"Apollo Global Management, Inc. (NYSE:APO) is one of the stocks Jim Cramer was recently focused on. Cramer noted that the stock has been hit “much harder than...",https://finance.yahoo.com/news/jim-cramer-apollo-global-toughest-100340902.html,2025-10-03T10:03:40Z,"Apollo Global Management, Inc. (NYSE:APO) is one of the stocks Jim Cramer was recently focused on. Cramer noted that the stock has been hit much harder than the others, as he remarked:
Finally, ther… [+1174 chars]"
BBC News,,"UK will be second-fastest-growing G7 economy, IMF predicts",The International Monetary Fund (IMF) has upgraded the rate at which the UK economy will grow this year.,https://www.bbc.com/news/articles/cn092p27xn0o,2025-10-14T13:00:40Z,"Faisal IslamBBC Economics Editor
Chancellor Rachel Reeves said, despite the IMF's upgrade to UK economic growth, ""for too many people, our economy feels stuck""
The UK is forecast to be the second-f… [+4476 chars]"
Kotaku,Mike Fazioli,"Amazon Slashes AMD Ryzen 7 Mini Gaming PC to Lowest Price, Likely Clearing Stock Before Prime Big Deal Days","The BOSGAME P3 brings impressive gaming power to the work-centric mini PC craze, and you can save $150 if you act now.
The post Amazon Slashes AMD Ryzen 7 Mini Gaming PC to Lowest Price, Likely Clearing Stock Before Prime Big Deal Days appeared first on Kotak…",https://kotaku.com/amazon-slashes-amd-ryzen-7-mini-gaming-pc-to-lowest-price-likely-clearing-stock-before-prime-big-deal-days-2000629670,2025-09-29T15:10:25Z,"When we look back on 2025, we might remember it as the Year of the Mini PC. These mighty mites broke out in a huge way this year, with powerful and fast new models flooding the market and putting to … [+2497 chars]"
Business Insider,Daniel Geiger,A $5 billion deal key to CoreWeave's AI empire just lost another investor's support,CoreWeave's deal to acquire a data center partner is in jeopardy after shareholders oppose the transaction.,https://www.businessinsider.com/core-scientific-shareholder-oppose-coreweave-takeover-bid-2025-10,2025-10-17T21:44:09Z,"Michael Intrator, CoreWeave's CEOTom Williams/CQ-Roll Call, Inc via Getty Images
<ul><li>CoreWeave's rapid growth has thrust it into the center of a growing debate about an AI bubble.</li><li>In Jul… [+7588 chars]"
Yahoo Entertainment,Rian Howlett,"Stock market today: Dow sinks 800 points, S&P 500 and Nasdaq see worst day since April as Trump's renewed tariff threats spook Wall Street",Markets tumble to end the week as President Trump renewed tariff threats on China.,https://finance.yahoo.com/news/live/stock-market-today-dow-sinks-800-points-sp-500-and-nasdaq-see-worst-day-since-april-as-trumps-renewed-tariff-threats-spook-wall-street-200026352.html,2025-10-10T20:00:26Z,"US stocks closed sharply lower on Friday as President Trump and China traded blows on tariffs, with Trump threatening a ""massive increase"" in duties on Chinese goods.
The Dow Jones Industrial Averag… [+11161 chars]"
Yahoo Entertainment,Radek Strnad,WD-40 (WDFC) Reports Q3: Everything You Need To Know Ahead Of Earnings,Household products company WD-40 (NASDAQ:WDFC) will be reporting results this Wednesday after market hours. Here’s what investors should know.,https://finance.yahoo.com/news/wd-40-wdfc-reports-q3-030612703.html,2025-10-21T03:06:12Z,"Household products company WD-40 (NASDAQ:WDFC) will be reporting results this Wednesday after market hours. Heres what investors should know.
WD-40 missed analysts revenue expectations by 2.3% last … [+2214 chars]"
Kotaku,Joe Tilleli,This Marshall Portable Bluetooth Speaker Drops Even Lower Than Its Prime Day Price as Amazon Quietly Clears Out Stock,"Nearly 50% off on the Marshall Emberton II portable Bluetooth speaker in black and brass.
The post This Marshall Portable Bluetooth Speaker Drops Even Lower Than Its Prime Day Price as Amazon Quietly Clears Out Stock appeared first on Kotaku.",https://kotaku.com/this-marshall-portable-bluetooth-speaker-drops-even-lower-than-its-prime-day-price-as-amazon-quietly-clears-out-stock-2000634630,2025-10-14T14:10:36Z,"Amazon’s Prime Big Deals Days has come and gone. This was the online retail giant’s two-day sales event where you’re able to save big on TVs, tablets, coffee makers, and pretty much anything else. Th… [+2194 chars]"
Business Insider,Aditi Bharade,An early Pop Mart investor said Chinese brands that want to make it big need to set their eyes on one market early on,David He from Black Ant Capital said Chinese companies should set their eyes on the US early on.,https://www.businessinsider.com/pop-mart-investor-chinese-brands-us-market-early-2025-10,2025-10-09T04:41:42Z,"An early Pop Mart investor said there is one market Chinese brands need to gun for early on.Costfoto/NurPhoto via Getty Images
<ul><li>A Pop Mart investor said Chinese companies that want to succeed… [+2270 chars]"
Kotaku,Kotaku Deals,"Amazon Clears Out Govee Smart Lamp Stock, Now Selling for Less Than a Basic Floor Lamp","A smart lamp completely transforms the atmosphere.
The post Amazon Clears Out Govee Smart Lamp Stock, Now Selling for Less Than a Basic Floor Lamp appeared first on Kotaku.",https://kotaku.com/amazon-clears-out-govee-smart-lamp-stock-now-selling-for-less-than-a-basic-floor-lamp-2000632160,2025-10-07T00:35:59Z,Your living room deserves smart lighting that doesn’t drain your wallet. Smart floor lamps have become incredibly popular for transforming spaces with dynamic colors and voice control but the price t… [+3004 chars]
Slashdot.org,EditorDavid,Three-Wheeled Solar Car Maker Aptera is About to Go Public,"Last November Aptera successfully tested its first production-intent three-wheel solar-powered EV — and said it already had over 50,000 reservations. The vehicles had a solar charge range of 40 miles per day, reported Digital Trends, noting the crowdfunded co…",https://tech.slashdot.org/story/25/10/12/0237231/three-wheeled-solar-car-maker-aptera-is-about-to-go-public,2025-10-12T16:34:00Z,"Last November Aptera successfully tested its first production-intent three-wheel solar-powered EV — and said it already had over 50,000 reservations. The vehicles had a solar charge range of 40 miles… [+1848 chars]"
Yahoo Entertainment,Nauman khan,NVDA: This Analyst Sees Massive 80% Upside For Nvidia Stock -- Here's Why,HSBC Predicts Nvidia's Market Cap Could Double To $8 Trillion,https://finance.yahoo.com/news/nvda-analyst-sees-massive-80-183637187.html,2025-10-16T18:36:37Z,"This article first appeared on GuruFocus.
Oct 16 - Nvidia (NASDAQ:NVDA) gained fresh bullish momentum after HSBC raised its rating on the chipmaker to buy from hold, pointing to sustained demand for… [+1078 chars]"
Yahoo Entertainment,Anthony Richardson,The Weekend: IMF warns of global debt emergency as Reeves grapples with slowing jobs market,"Key moments from the last seven days, plus a glimpse at the week ahead.",https://uk.finance.yahoo.com/news/imf-global-debt-reeves-jobs-economy-weekend-budget-125851835.html,2025-10-18T12:58:51Z,There was a stark warning from the IMF this week as it predicted government debt across the world would hit the highest level since the aftermath of World War Two by the end of the decade. According … [+6551 chars]
